test.subset,train.subsets,groups,test.fold,seed,n.train.groups,iteration,Train_subsets,uhash,nr,task_id,learner_id,resampling_id,classif.auc,classif.acc,algorithm
2019,all,41408,1,1,41408,1,all,399fa998-45de-446e-baab-bf61c80f0c1a,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,0.973818593637394,0.970345963756178,cv_glmnet
2020,all,41408,1,1,41408,2,all,399fa998-45de-446e-baab-bf61c80f0c1a,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,0.974613553239943,0.97627606038821,cv_glmnet
2019,all,41408,2,1,41408,3,all,399fa998-45de-446e-baab-bf61c80f0c1a,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,0.970524039946463,0.977484898407468,cv_glmnet
2020,all,41408,2,1,41408,4,all,399fa998-45de-446e-baab-bf61c80f0c1a,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,0.95878241359969,0.974110032362459,cv_glmnet
2019,all,41408,3,1,41408,5,all,399fa998-45de-446e-baab-bf61c80f0c1a,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,0.965911664779161,0.971444261394838,cv_glmnet
2020,all,41408,3,1,41408,6,all,399fa998-45de-446e-baab-bf61c80f0c1a,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,0.965340639427019,0.979144192736426,cv_glmnet
2019,all,41408,4,1,41408,7,all,399fa998-45de-446e-baab-bf61c80f0c1a,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,0.96927828683208,0.976386600768808,cv_glmnet
2020,all,41408,4,1,41408,8,all,399fa998-45de-446e-baab-bf61c80f0c1a,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,0.97582085688398,0.97950377562028,cv_glmnet
2019,all,41408,5,1,41408,9,all,399fa998-45de-446e-baab-bf61c80f0c1a,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,0.969659219602594,0.973091707852828,cv_glmnet
2020,all,41408,5,1,41408,10,all,399fa998-45de-446e-baab-bf61c80f0c1a,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,0.968710359408033,0.975188781014024,cv_glmnet
2019,all,41408,6,1,41408,11,all,399fa998-45de-446e-baab-bf61c80f0c1a,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,0.98659528467003,0.978034047226798,cv_glmnet
2020,all,41408,6,1,41408,12,all,399fa998-45de-446e-baab-bf61c80f0c1a,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,0.966911161927772,0.973750449478605,cv_glmnet
2019,all,41408,7,1,41408,13,all,399fa998-45de-446e-baab-bf61c80f0c1a,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,0.979425034099256,0.975810885101704,cv_glmnet
2020,all,41408,7,1,41408,14,all,399fa998-45de-446e-baab-bf61c80f0c1a,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,0.969474047547137,0.976267529665588,cv_glmnet
2019,all,41408,8,1,41408,15,all,399fa998-45de-446e-baab-bf61c80f0c1a,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,0.967096841884376,0.974161627267729,cv_glmnet
2020,all,41408,8,1,41408,16,all,399fa998-45de-446e-baab-bf61c80f0c1a,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,0.954918694750629,0.974460431654676,cv_glmnet
2019,all,41408,9,1,41408,17,all,399fa998-45de-446e-baab-bf61c80f0c1a,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,0.976990871891722,0.976360637713029,cv_glmnet
2020,all,41408,9,1,41408,18,all,399fa998-45de-446e-baab-bf61c80f0c1a,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,0.96664411219033,0.976618705035971,cv_glmnet
2019,all,41408,10,1,41408,19,all,399fa998-45de-446e-baab-bf61c80f0c1a,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,0.963162312454097,0.97306212204508,cv_glmnet
2020,all,41408,10,1,41408,20,all,399fa998-45de-446e-baab-bf61c80f0c1a,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,0.973043762959728,0.974820143884892,cv_glmnet
2019,other,25027,1,1,25027,21,other,399fa998-45de-446e-baab-bf61c80f0c1a,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,0.973746525275405,0.971444261394838,cv_glmnet
2020,other,16381,1,1,16381,22,other,399fa998-45de-446e-baab-bf61c80f0c1a,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,0.973132030225656,0.97411933860532,cv_glmnet
2019,other,25027,2,1,25027,23,other,399fa998-45de-446e-baab-bf61c80f0c1a,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,0.970050447853392,0.978034047226798,cv_glmnet
2020,other,16381,2,1,16381,24,other,399fa998-45de-446e-baab-bf61c80f0c1a,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,0.957022047719721,0.974469615246314,cv_glmnet
2019,other,25027,3,1,25027,25,other,399fa998-45de-446e-baab-bf61c80f0c1a,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,0.9628333161742,0.971444261394838,cv_glmnet
2020,other,16381,3,1,16381,26,other,399fa998-45de-446e-baab-bf61c80f0c1a,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,0.963448677568279,0.975188781014024,cv_glmnet
2019,other,25027,4,1,25027,27,other,399fa998-45de-446e-baab-bf61c80f0c1a,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,0.96989601564913,0.975837451949478,cv_glmnet
2020,other,16381,4,1,16381,28,other,399fa998-45de-446e-baab-bf61c80f0c1a,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,0.970671355222852,0.975548363897878,cv_glmnet
2019,other,25027,5,1,25027,29,other,399fa998-45de-446e-baab-bf61c80f0c1a,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,0.965546175229075,0.973640856672158,cv_glmnet
2020,other,16381,5,1,16381,30,other,399fa998-45de-446e-baab-bf61c80f0c1a,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,0.96812141347025,0.972312117943186,cv_glmnet
2019,other,25027,6,1,25027,31,other,399fa998-45de-446e-baab-bf61c80f0c1a,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,0.986111397096674,0.978034047226798,cv_glmnet
2020,other,16381,6,1,16381,32,other,399fa998-45de-446e-baab-bf61c80f0c1a,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,0.964223152263019,0.972671700827041,cv_glmnet
2019,other,25027,7,1,25027,33,other,399fa998-45de-446e-baab-bf61c80f0c1a,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,0.978040079739797,0.975810885101704,cv_glmnet
2020,other,16381,7,1,16381,34,other,399fa998-45de-446e-baab-bf61c80f0c1a,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,0.967623074599818,0.976267529665588,cv_glmnet
2019,other,25027,8,1,25027,35,other,399fa998-45de-446e-baab-bf61c80f0c1a,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,0.964347917322422,0.973611874656405,cv_glmnet
2020,other,16381,8,1,16381,36,other,399fa998-45de-446e-baab-bf61c80f0c1a,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,0.95377059914875,0.973381294964029,cv_glmnet
2019,other,25027,9,1,25027,37,other,399fa998-45de-446e-baab-bf61c80f0c1a,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,0.976581680830973,0.978009895547004,cv_glmnet
2020,other,16381,9,1,16381,38,other,399fa998-45de-446e-baab-bf61c80f0c1a,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,0.961375095492742,0.975539568345324,cv_glmnet
2019,other,25027,10,1,25027,39,other,399fa998-45de-446e-baab-bf61c80f0c1a,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,0.962994439198406,0.97306212204508,cv_glmnet
2020,other,16381,10,1,16381,40,other,399fa998-45de-446e-baab-bf61c80f0c1a,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,0.969346283968132,0.97589928057554,cv_glmnet
2019,same,16381,1,1,16381,41,same,399fa998-45de-446e-baab-bf61c80f0c1a,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,0.96932461649336,0.970895112575508,cv_glmnet
2020,same,25027,1,1,25027,42,same,399fa998-45de-446e-baab-bf61c80f0c1a,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,0.973677627492928,0.975916606757728,cv_glmnet
2019,same,16381,2,1,16381,43,same,399fa998-45de-446e-baab-bf61c80f0c1a,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,0.968917945022136,0.976386600768808,cv_glmnet
2020,same,25027,2,1,25027,44,same,399fa998-45de-446e-baab-bf61c80f0c1a,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,0.958126591016956,0.974469615246314,cv_glmnet
2019,same,16381,3,1,16381,45,same,399fa998-45de-446e-baab-bf61c80f0c1a,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,0.959132091012045,0.970895112575508,cv_glmnet
2020,same,25027,3,1,25027,46,same,399fa998-45de-446e-baab-bf61c80f0c1a,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,0.964917806446045,0.978425026968716,cv_glmnet
2019,same,16381,4,1,16381,47,same,399fa998-45de-446e-baab-bf61c80f0c1a,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,0.96751775970349,0.977484898407468,cv_glmnet
2020,same,25027,4,1,25027,48,same,399fa998-45de-446e-baab-bf61c80f0c1a,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,0.971950640721404,0.977346278317152,cv_glmnet
2019,same,16381,5,1,16381,49,same,399fa998-45de-446e-baab-bf61c80f0c1a,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,0.969345207453927,0.973091707852828,cv_glmnet
2020,same,25027,5,1,25027,50,same,399fa998-45de-446e-baab-bf61c80f0c1a,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,0.96687233032748,0.971233369291622,cv_glmnet
2019,same,16381,6,1,16381,51,same,399fa998-45de-446e-baab-bf61c80f0c1a,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,0.984942860084423,0.977484898407468,cv_glmnet
2020,same,25027,6,1,25027,52,same,399fa998-45de-446e-baab-bf61c80f0c1a,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,0.965176683781335,0.97339086659475,cv_glmnet
2019,same,16381,7,1,16381,53,same,399fa998-45de-446e-baab-bf61c80f0c1a,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,0.977657118875249,0.974161627267729,cv_glmnet
2020,same,25027,7,1,25027,54,same,399fa998-45de-446e-baab-bf61c80f0c1a,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,0.967221814730121,0.977346278317152,cv_glmnet
2019,same,16381,8,1,16381,55,same,399fa998-45de-446e-baab-bf61c80f0c1a,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,0.962926240688281,0.972512369433755,cv_glmnet
2020,same,25027,8,1,25027,56,same,399fa998-45de-446e-baab-bf61c80f0c1a,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,0.954713521772344,0.973741007194245,cv_glmnet
2019,same,16381,9,1,16381,57,same,399fa998-45de-446e-baab-bf61c80f0c1a,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,0.971639911866541,0.978009895547004,cv_glmnet
2020,same,25027,9,1,25027,58,same,399fa998-45de-446e-baab-bf61c80f0c1a,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,0.964457055549493,0.977338129496403,cv_glmnet
2019,same,16381,10,1,16381,59,same,399fa998-45de-446e-baab-bf61c80f0c1a,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,0.962747875354109,0.973611874656405,cv_glmnet
2020,same,25027,10,1,25027,60,same,399fa998-45de-446e-baab-bf61c80f0c1a,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,0.972698897740916,0.976258992805755,cv_glmnet
